"EFSA_Food_Desc","FoodDB_Food_Name"
"Corned beef, uncooked","Cattle (Beef, Veal)"
"Bacon","Angelica"
"Corned pork, uncooked","Angelica"
"Ham, pork","Angelica"
"Fresh bratwurst","Angelica"
"German salami","German camomile"
"Salami-type sausage","Sausage"
"Cured unripened raw sausages","Angelica"
"Mettwurst-type sausage","Sausage"
"Teewurst-type sausage","Sausage"
"Wiener sausage","Sausage"
"Blood-type sausage","Sausage"
"Bologna-type sausage","Sausage"
"Head cheese","Cheese"
"Miscellaneous cooked sausages","Angelica"
"Mortadella-type sausage","Sausage"
"Polish-type cooked sausage","Sausage"
"Liver-type sausage","Sausage"
"Sausages","Angelica"
"Cheese, feta","Greek feta cheese"
"Cheese","Cheese"
"Cheese, chevre frais","Cheese"
"Cottage cheese","Cottage cheese"
"Cream cheese","Cream"
"Mozzarella","Mozzarella cheese"
"Quark","Angelica"
"Ricotta","Angelica"
"Processed cheese, sliceable","Processed cheese"
"Processed cheese, spreadable","Processed cheese"
"Cheese, parmigiano reggiano","Cheese"
"Extra hard cheese (parmesan, grana type)","Parmesan cheese"
"Cheese, gorgonzola","Cheese"
"Firm-ripened cheese with added herbs, spices or other ingredients","Herbs and Spices"
"Cheese, cheshire","Cheese"
"Cheese, edam","Cheese"
"Cheese, gouda","Cheese"
"Cheese, tilsit","Cheese"
"Firm/semi-hard cheese (gouda and edam type)","Hard wheat"
"Cheese, emmental","Cheese"
"Cheese, gruyere","Cheese"
"Hard cheese (cheddar, emmental type)","Cheddar Cheese"
"Soft - ripened cheese","Cheese"
"Cheese, camembert","Cheese"
"Soft-ripened cheese with bloomy rind (white mould) (brie, camembert type)","Cheese"
"Cheese, harzer","Cheese"
"Custard","Sweet custard"
"Dairy desserts spoonable","Angelica"
"Starchy pudding","Pudding"
"Dairy ice creams and similar","Ice cream"
"Ice cream, milk-based","Ice cream"
"Milkshakes","Angelica"
"Acidophilus milk","Milk and milk products"
"Probiotic milk-like drinks","Milk and milk products"
"Flavoured traditional sour milk products","Milk and milk products"
"Kefir","Kefir"
"Yoghurt, cow milk, flavoured","Milk (Cow)"
"Yoghurt, cow milk, plain","Milk (Cow)"
"Yoghurt, sheep milk, plain","Milk and milk products"
"Yoghurt drinks, including sweetened and/or flavoured variants","Fats and oils"
"Sour cream, plain","Sour cream"
"Condensed milk (sometimes with added sugars)","Condensed milk"
"Cream powder","Cream"
"Milk powder, full fat","Milk and milk products"
"Milk powder, skimmed","Milk and milk products"
"Whey powder","Whey"
"Buttermilk","Buttermilk"
"Cream with other ingredients","Cream"
"Cream, plain","Plain cream cheese"
"Cow milk, natural high fat","Milk (Cow)"
"Cow milk, semi skimmed (half fat)","Milk (Cow)"
"Cow milk, skimmed (low fat)","Milk (Cow)"
"Cow milk, whole","Milk (Cow)"
"Flavoured milks","Angelica"
"Goat milk","Domestic goat"
"Human milk","Milk (Human)"
"Miscellaneous supplements or nutraceuticals","Unclassified food or beverage"
"Combination of vitamin and mineral only supplements","Cow milk, pasteurized, vitamin A + D added, 0% fat"
"Vitamin only supplements","Cow milk, pasteurized, vitamin A + D added, 0% fat"
"Soya yoghurt","Angelica"
"Tofu","Tofu"
"Almond drink","Almond"
"Rice drink","Rice"
"Soya drink","Soft drink"
"Fermented soyabean-based meat imitates","Other fermented milk"
"Meat imitates","Meat bouillon"
"Soyabean-based meat imitates","Meat bouillon"
"Salad dressing","Salad dressing"
"Barbecue or steak sauces","Unclassified food or beverage"
"Continental european brown cooked sauce, gravy","Sauce"
"Curry sauce","Curry powder"
"Herbs, vegetables and oil sauces","Herbs and Spices"
"Pesto","Angelica"
"Tabasco sauce","Sauce"
"Hollandaise type sauce","Sauce"
"Mayonnaise sauce","Sauce"
"Mayonnaise, low fat","Other animal fat"
"Mayonnaise, hollandaise and related sauces","Fats and oils"
"Mustard and related sauces","Mustard"
"Mustard, mild","Mustard"
"Mustard, sweet","Mustard"
"Sauces from fermented/hydrolised sources and similar","Other fermented milk"
"Soy sauce","Soy sauce"
"Sweet and sour sauce","Sauce"
"Savoury sauces","Angelica"
"Tomato ketchup and related sauces","Ketchup"
"Tomato-containing cooked sauces","Cherry tomato"
"Mushrooms cooked sauce","Mushrooms"
"Vegetables-based cooked sauce","Sauce"
"Bechamel sauce","Sauce"
"Butter sauce","Butter"
"Cheese sauce","Sauce"
"Cream sauce","Sauce"
"Vinegar","Vinegar"
"Vinegar, wine","Vinegar"
"Chocolate sauce","Sauce"
"Fruit sauce","Sauce"
"Stock cubes or granulate (bouillon base)","Meat bouillon"
"Stock cube or granulate, beef","Cattle (Beef, Veal)"
"Yeast extract","Angelica"
"Salt","Salt"
"Salt, flavoured","Salt"
"Salt, iodised","Salt"
"Curry powder","Curry powder"
"Mixed herbs and spices","Herbs and Spices"
"Pickling spice","Pepper (Spice)"
"Seasoning mixes","Angelica"
"Mashed potato powder","Potato"
"Starchy root and tuber products","Root vegetables"
"Potatoes","Angelica"
"Other tropical root and tuber vegetables","Root vegetables"
"Sweet potatoes","Sweet potato"
"Maples (trunk sap)","Angelica"
"Caramel, soft","Soft drink"
"Nougat raw mass","Nougat"
"Dragée, sugar coated","Dragée"
"Hard candies","Hard wheat"
"Chewing gum","Chewing gum"
"Foamed sugar products (marshmallows)","Sugar"
"Gum drops","Fruit gum"
"Jelly candies","Angelica"
"Liquorice candies","Liquorice"
"Bitter-sweet chocolate","Chocolate"
"Chocolate and similar","Chocolate"
"Couverture chocolate","Chocolate"
"Gianduja chocolate","Chocolate"
"Milk chocolate","Chocolate"
"White chocolate","Chocolate"
"Chocolate coated confectionery","Chocolate"
"Filled chocolate","Chocolate"
"Pralines","Angelica"
"Caramel, hard","Hard wheat"
"Sweet bars and other formed sweet masses","Sweet potato"
"Honey","Honey"
"Glucose","Angelica"
"Lactose","Angelica"
"Brown cane sugar","Sugar"
"Sugar, icing - powder","Icing"
"White sugar","Sugar"
"Molasses","Molasses"
"Syrups","Angelica"
"Table-top sweeteners formulations","Angelica"
"Table-top sweeteners in liquid form","Angelica"
"Gelatine dessert","Dessert wine"
"Water-based desserts spoonable","Water"
"Sorbet","Angelica"
"Water-based ice creams","Water"
"Garlic","Garlic"
"Onions","Angelica"
"Silverskin onions","Angelica"
"Shallots","Angelica"
"Welsh onions","Welsh onion"
"Broccoli","Broccoli"
"Cauliflowers","Angelica"
"Courgettes","Angelica"
"Cucumbers","Angelica"
"Gherkins","Angelica"
"Melons","Angelica"
"Pumpkins","Angelica"
"Watermelons","Angelica"
"Aubergines","Angelica"
"Chili peppers","Chili"
"Sweet peppers","Sweet potato"
"Ground cherries (physalis etc.)","Angelica"
"Tomatoes and similar-","Fats and oils"
"Sweet corn","Corn"
"Common mushrooms","Mushrooms"
"Fungi","Angelica"
"Morels","Angelica"
"Aromatic herbs","Herbs and Spices"
"Basil","Sweet basil"
"Lemon balm","Lemon balm"
"Dill leaves","Dill"
"Lovage leaves","Lovage"
"Garden sorrel","Sorrel"
"Chervil","Chervil"
"Chives","Chives"
"Laurel","Angelica"
"Parsley","Parsley"
"Rosemary","Rosemary"
"Borage","Borage"
"Sage","Common sage"
"Tarragon","Tarragon"
"Marjoram","Sweet marjoram"
"Oregano","Common oregano"
"Thyme","Common thyme"
"Winter savory","Winter savory"
"Brussels sprouts","Brussel sprouts"
"Red cabbages","Red rice"
"Savoy cabbages","Savoy cabbage"
"White cabbage","White cabbage"
"Chinese cabbages and similar-","Chinese mustard"
"Curly kales","Angelica"
"Escaroles and similar-","Fats and oils"
"Lamb's lettuces","Sheep (Mutton, Lamb)"
"Crisp lettuces","Crisp bread"
"Cutting lettuces","Angelica"
"Head lettuces","Angelica"
"Chards","Angelica"
"Amaranth leaves","Amaranth"
"Spinaches","Angelica"
"Witloofs","Angelica"
"Beans (with pods) and similar-","Baked beans"
"French beans (with pods)","French plantain"
"Chickpeas (with pods)","Angelica"
"Peas (with pods) and similar-","Fats and oils"
"Canned mushrooms","Mushrooms"
"Sweet corn canned","Corn"
"Dried mushrooms","Mushrooms"
"Dried vegetables","Dried milk"
"Sauerkraut","Angelica"
"Pickled / marinated vegetables","Green vegetables"
"Tomato paste","Cherry tomato"
"Processed tomato products","Processed cheese"
"Mashed vegetable puree","Vegetable juice"
"Vegetable puree or paste","Vegetable juice"
"Beetroots","Angelica"
"Carrots","Angelica"
"Celeriacs","Angelica"
"Parsley roots","Parsley"
"Parsnip roots","Parsnip"
"Radishes","Angelica"
"Root and tuber vegetables (excluding starchy- and sugar-)","Root vegetables"
"Salsifies","Angelica"
"Alfalfa sprouts","Alfalfa"
"Cresses","Angelica"
"Mung bean sprouts","Mung bean"
"Soyabeans sprouts","Brussel sprouts"
"Asparagus","Asparagus"
"Bamboo shoots","Bamboo shoots"
"Celeries","Angelica"
"Florence fennels","Angelica"
"Globe artichokes","Globe artichoke"
"Kohlrabies","Angelica"
"Leeks","Angelica"
"Rhubarbs","Angelica"
"Liquid drink bases (including concentrates and home-made preparations)","Soft drink"
"Powdered drink bases","Soft drink"
"Tap water","Water"
"Unbottled water","Water"
"Isotonic and sport drinks","Fats and oils"
"Cola beverages, caffeinic","Beverages"
"Cola beverages, decaffeinated","Beverages"
"Cola mix, flavoured cola","Trail mix"
"Soft drink with bitter principle","Soft drink"
"Soft drink, flavoured, no fruit","Soft drink"
"Soft drink, mixed flavours","Soft drink"
"Diet soft drinks with fruit juice","Fruit juice"
"Fruit soft drink, grape white","White grape juice"
"Fruit soft drink, mixed fruit","Soft drink"
"Fruit soft drink, orange","Soft drink"
"Fruit soft drink, pear","Soft drink"
"Fruit soft drink, plum","Soft drink"
"Soft drink, with fruit juice (fruit content below the minimum for nectars)","Fruit juice"
"Beer-like beverages","Beer"
"Fruit liqueur","Fruit juice"
"Unsweetened spirits","Angelica"
"Sparkling wine","White wine"
"Wine, red","Red wine"
"Wine, white","White wine"
"Animal and vegetable fats/oils","Fats and oils"
"Fats and oils from terrestrial animals","Fats and oils"
"Goose fat, processed","Greylag goose"
"Pork lard","Lard"
"Olive oil, virgin or extra-virgin","Olive oil"
"Olive oils","Olive"
"Coconut oil/fat","Coconut oil"
"Linseed oil","linseed oil"
"Maize oil, edible","Fish oil"
"Peanut oil, edible","Peanut oil"
"Rape seed oil, edible","Rape"
"Safflower seed oil, edible","Safflower"
"Soya bean oil, refined","Bean"
"Sunflower seed oil, edible","Sunflower oil"
"Walnut oil","Walnut"
"Vegetable fats and oils, edible","Fats and oils"
"Butter","Butter"
"Blended margarine","Margarine"
"Margarines and similar","Fats and oils"
"Cocoa beverages","Beverages"
"Hot chocolate","Hot chocolate"
"Tea infusion with added flavouring ingredients","Tea"
"Cocoa powder","Cocoa powder"
"Malt coffee ingredient","Coffee"
"Flowers used for herbal infusions","Herbal tea"
"Cocoa beverage-preparation, powder","Cocoa powder"
"Tea extract (powder)","Tea"
"Egg based dishes","Egg roll"
"Omelette with vegetables","Green vegetables"
"Omelette, plain","Plain cream cheese"
"Fish and seafood based dishes","Fish oil"
"Fish and vegetables meal","Fish oil"
"Fish gratin","Potato gratin"
"Prepared fish salad","Salad"
"Beans and meat meal","Baked beans"
"Beans and vegetables meal","Green vegetables"
"Beans, meat, and vegetables meal","Green vegetables"
"Legumes based dishes","Angelica"
"Meat balls","Meat bouillon"
"Meat based dishes","Meat bouillon"
"Meat burger (no sandwich)","Fish burger"
"Meat in aspic","Meat bouillon"
"Meat stew","Stew"
"Fries (finger chips)","Angelica"
"Pan-fried potato","Potato"
"Potato based dishes","Potato"
"Potato croquettes","Potato"
"Potatoes and cheese meal","Cheese"
"Prepared potato salad","Salad"
"Roesti","Angelica"
"Creamed vegetable mix","Vegetable juice"
"Mixed vegetables","Green vegetables"
"Vegetable based dishes","Vegetable juice"
"Pasta based dishes, cooked","Pasta"
"Pasta, filled with meat mix, cooked","Pasta"
"Pasta, filled, cooked","Pasta"
"Lasagna","Lasagna"
"Pasta, cooked, with cheese/cream","Pasta"
"Pasta, cooked, with vegetables","Pasta"
"Pasta, cooked, with vegetables and cheese/cream","Pasta"
"Rice and meat meal","Rice"
"Rice and vegetables meal","Rice"
"Rice, meat, and vegetables meal","Rice"
"Spring rolls","Angelica"
"Pizza and pizza-like dishes","Pizza"
"Pizza and similar with cheese topping","Topping"
"Pizza and similar with cheese, and mushrooms","Pizza"
"Pizza and similar with cheese, and vegetables","Pizza"
"Pizza and similar with cheese, and vegetables and fruits","Pizza"
"Pizza and similar with fish/seafood topping","Topping"
"Pizza and similar with processed meat topping","Topping"
"Doner kebab","Angelica"
"Sandwich and sandwich-like dishes","Other sandwich"
"Sandwich with processed meat topping/filling","Topping"
"Sandwiches, pizza and other stuffed bread-like cereal products","Cereals and cereal products"
"Potato crisps or sticks","Potato"
"Rice chips","Rice"
"Tortilla chips","Tortilla"
"Corn curls","Corn"
"Potato starch-based snacks","Potato"
"Snacks other than chips and similar","Other bread"
"Mixed vegetable salad","Salad"
"Prepared meat salad","Salad"
"Prepared mixed egg/meat/fish/vegetable salad","Salad"
"Salads","Angelica"
"Meat/poultry soup, dry","Soup"
"Onion soup, dry","White onion"
"Potato soup, dry","Soup"
"Cereal products and grains based soup","Cereals and cereal products"
"Legume (beans) soup","Soup"
"Meat soup","Soup"
"Mixed vegetables soup","Soup"
"Mixed vegetables soup, clear","Soup"
"Soups (ready-to-eat)","Angelica"
"Tomato soup","Soup"
"Other desserts spoonable","Other bread"
"Fried eggs","Eggs"
"Hen egg white","White bread"
"Hen egg yolk","Egg yolk"
"Hen eggs","Eggs"
"Shrimps and prawns","Fats and oils"
"Shrimps, common","Common wheat"
"Salmons","Angelica"
"Trouts","Angelica"
"Fish (meat)","Fish oil"
"Pangas catfishes","Angelica"
"Perch","Pacific ocean perch"
"Cod","Atlantic cod"
"Haddock","Haddock"
"Hakes","Angelica"
"Pollack","Angelica"
"Anchovies","Angelica"
"Sea catfishes","Sea trout"
"Mackerel","Atlantic mackerel"
"Tuna","Albacore tuna"
"Marinated / pickled fish","Fish oil"
"Smoked fish","Fish oil"
"Smoked salmon","Atlantic salmon"
"Fish fingers, breaded","Fish oil"
"Dried shrimps and prawns","Dried milk"
"Sturgeon roe","Sturgeon"
"Follow-on formula, milk-based, liquid","Milk and milk products"
"Follow-on formula, milk-based, powder","Milk and milk products"
"Infant formula, milk-based, powder","Milk and milk products"
"Fruit and vegetable juices and nectars specific for infants and young children","Vegetable juice"
"Biscuits, rusks and cookies for children","Fats and oils"
"Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid","Other snack food"
"Processed cereal-based food for infants and young children","Baby food"
"Simple cereals which have to be reconstituted with milk or other appropriate nutritious liquids","Other fermented milk"
"Ready-to-eat cereal-based meal for children","Breakfast cereal"
"Ready-to-eat dairy-based meal for children","Angelica"
"Ready-to-eat fruit-based meal for children","Fruit juice"
"Ready-to-eat meal for infants and young children","Fats and oils"
"Ready-to-eat vegetable-based meal for children","Vegetable juice"
"Fruit and fruit products","Fruit juice"
"Berries and small fruits","Fruits"
"Northern highbush blueberry","Highbush blueberry"
"Blackberries","Angelica"
"Raspberries (red and yellow)","Red rice"
"Currants (black, red and white)","Black tea"
"Gooseberries and similar-","Fats and oils"
"Table grapes","Angelica"
"Strawberries","Angelica"
"Grapefruits","Angelica"
"Lemons","Angelica"
"Mandarins","Angelica"
"Oranges","Angelica"
"Kaki","Angelica"
"Avocados","Angelica"
"Bananas and similar-","Fats and oils"
"Granate apples","Angelica"
"Mangoes","Angelica"
"Papayas","Angelica"
"Pineapples","Angelica"
"Kiwi fruits (green, red, yellow)","Kiwi"
"Litchis","Angelica"
"Apples","Angelica"
"Pears","Angelica"
"Apricots","Angelica"
"Cherries (sweet)","Sweet potato"
"Sour cherries","Sour cream"
"Peaches and similar-","Fats and oils"
"Mirabelles","Angelica"
"Plums","Angelica"
"Chocolate coated dried fruit","Chocolate"
"Dried apples","Dried milk"
"Dried apricots","Dried milk"
"Dried bananas","Dried milk"
"Dried dates","Dried milk"
"Dried figs","Dried milk"
"Dried fruit","Dried milk"
"Dried vine fruits (raisins etc.)","Fruits"
"Mixed dried fruits","Fruits"
"Fruit compote, apricot","Apricot"
"Jam of fruit / vegetables","Green vegetables"
"Jam, apricots","Angelica"
"Jam, blackberries","Angelica"
"Jam, blueberries","Angelica"
"Jam, currants (black)","Black tea"
"Jam, mixed fruit","Fruit juice"
"Jam, peaches","Angelica"
"Jam, plums","Angelica"
"Jam, raspberries","Angelica"
"Jam, strawberries","Angelica"
"Other fruit spreads","Other bread"
"Canned or jarred apricot","Apricot"
"Canned or jarred cranberry","European cranberry"
"Canned or jarred fruit","Fruit juice"
"Canned or jarred mandarin","Mandarin orange (Clementine, Tangerine)"
"Canned or jarred mixed fruit","Fruit juice"
"Canned or jarred peach","Peach"
"Canned or jarred pear","Pear"
"Canned or jarred pineapple","Pineapple"
"Canned or jarred sour cherry","Sour cherry"
"Canned or jarred sweet cherry","Sweet cherry"
"Citrus fruit peel","Citrus"
"Fruit or fruit-vegetable puree","Fruit juice"
"Other processed fruit products (excluding beverages)","Beverages"
"Fruit juice concentrates","Fruit juice"
"Dehydrated/powdered fruit juice","Fruit juice"
"Coconut milk (cocos nucifera) liquid","Coconut milk"
"Fruit / vegetable juices and nectars","Vegetable juice"
"Juice, apple","Apple"
"Juice, blackberry","Blackberry"
"Juice, cranberry","European cranberry"
"Juice, elderberry","Elderberry"
"Juice, grape","White grape juice"
"Juice, lemon","Lemon"
"Juice, orange","Sweet orange"
"Juice, pear","Pear"
"Juice, pineapple","Pineapple"
"Juice, apple-cherry","Apple"
"Juice, mixed fruit","Fruit juice"
"Mixed fruit juice","Fruit juice"
"Fruit nectars (min. 25-50% fruit as defined in EU legislation)","Fruit juice"
"Mixed fruit nectars","Fruit juice"
"Nectar, banana","Banana"
"Nectar, orange","Sweet orange"
"Nectar, pear","Pear"
"Juice, apple-carrot","Carrot"
"Mixed fruit and vegetable juices","Vegetable juice"
"Fruit smoothies","Fruit juice"
"Multivitamin juices","Angelica"
"Juice, carrot","Carrot"
"Juice, tomato","Cherry tomato"
"Vegetable juices","Vegetable juice"
"Additional bread products","Wheat bread"
"Breadcrumbs","Angelica"
"Croutons","Angelica"
"Crackers and breadsticks","Fats and oils"
"Crisp bread","Crisp bread"
"Crisp bread, rye, refined flour","Crisp bread"
"Wheat crisp bread","Crisp bread"
"Leavened bread and similar","Wheat bread"
"Mixed wheat and rye bread and rolls","Rye bread"
"Rye-wheat bread and rolls, wholemeal","Rye bread"
"Multigrain (not only rye-wheat) bread and rolls","Multigrain bread"
"Pretzels","Angelica"
"Pumpernickel","Angelica"
"Rye bread and rolls, wholemeal","Rye bread"
"Rye only bread and rolls","Rye bread"
"Sandwich bread (hamburger roll-type)","Hamburger"
"Wheat bread and rolls","Wheat bread"
"Wheat bread and rolls, brown or wholemeal","Wheat bread"
"Wheat bread and rolls, white (refined flour)","White bread"
"Wheat bread and rolls, white with maize","White bread"
"Wheat bread and rolls, white with potato","Potato bread"
"Wheat bread and rolls, white with soya","White bread"
"Rusk, refined flour","Flour"
"Rusk, wholemeal","Angelica"
"Pita bread","Pita bread"
"Unleavened or flat bread and similar","Wheat bread"
"Oat rolled grains","Oat"
"Spelt rolled grains","Spelt"
"Wheat rolled grains","Wheat"
"Cereal bars","Breakfast cereal"
"Cereal bars mixed","Breakfast cereal"
"Mixed breakfast cereals","Breakfast cereal"
"Muesli and similar mixed breakfast cereals","Breakfast cereal"
"Muesli plain","Plain cream cheese"
"Cereal flakes and similar","Cereals and cereal products"
"Processed maize-based flakes","Processed cheese"
"Processed mixed cereal-based flakes","Processed cheese"
"Oat high-bran flakes","Oat"
"Processed rice-based flakes","Rice"
"Processed wheat-based flakes","Wheat"
"Popcorn (maize, popped)","Popcorn"
"Popped cereals","Cereals and cereal products"
"Rice, popped","Rice"
"Buckwheat flour","Common buckwheat"
"Cereal and cereal-like flours","Breakfast cereal"
"Flour mix (like wheat/rye/barley/oats and other)","Barley"
"Millet flour","Millet"
"Rye flour, wholemeal","Rye"
"Spelt flour","Spelt"
"Spelt flour, wholemeal","Spelt"
"Wheat flour white","Flour"
"Wheat flour, brown","Flour"
"Wheat flour, durum","Flour"
"Wheat wholemeal flour","Flour"
"Oat bran","Oat"
"Wheat bran","Wheat"
"Buckwheat","Common buckwheat"
"Cereal grains (and cereal-like grains)","Breakfast cereal"
"Common millet and similar-","Millet"
"Maize and similar-","Fats and oils"
"Indian rice grain","Rice"
"Rice and similar-","Rice"
"Rice grain","Rice"
"Rice grain, brown","Rice"
"Rice grain, long-grain","Rice"
"Rice grain, mixed","Rice"
"Rice grain, parboiled","Rice"
"Rye grain","Rye"
"Common wheat grain","Common wheat"
"Spelt grain","Spelt"
"Bulgur","Bulgur"
"Semolina","Semolina"
"Biscuit with inclusions, filling or coating","Biscuit"
"Biscuits","Angelica"
"Biscuits, chocolate","Chocolate"
"Biscuits, oat meal","Oat"
"Biscuits, spelt meal","Spelt"
"Biscuits, sweet, plain","Plain cream cheese"
"Biscuits, sweet, wheat wholemeal","Wheat"
"Butter biscuits","Butter"
"Speculaas","Angelica"
"Cake marbled, with chocolate","Cake"
"Chocolate cake","Cake"
"Cheese cake","Cake"
"Cheese cream sponge cake","Cake"
"Cream cake","Cake"
"Cream custard sponge cake","Sweet custard"
"Fruit cake","Cake"
"Muffins","Angelica"
"Baumkuchen and similar","Fats and oils"
"Sponge cake","Cake"
"Sponge cake roll","Egg roll"
"Beignets","Angelica"
"Baklava","Angelica"
"Cream-cheese strudel","Cream"
"Croissant from puff pastry","Pastry"
"Pastry based on laminated dough","Dough"
"Fruit pie-tarts","Pie"
"Shortcrust (pies -tarts)","Angelica"
"Dumpling, sweet","Dumpling"
"Macaroons","Angelica"
"Pancakes","Angelica"
"Puddings based on cereal products and/or nuts/fruits and similar","Cereals and cereal products"
"Gingerbread","Angelica"
"Lebkuchen","Angelica"
"Waffles","Angelica"
"Brioche type products","Cereals and cereal products"
"Buns","Angelica"
"Croissant","Angelica"
"Croissant, filled with chocolate","Chocolate"
"Doughnuts-berliner","Angelica"
"Fresh stuffed durum pasta","Pasta"
"Fresh stuffed egg pasta","Pasta"
"Glass noodle","Angelica"
"Gnocchi","Angelica"
"Dried durum pasta","Pasta"
"Dried egg pasta","Pasta"
"Dried pasta","Pasta"
"Fresh egg pasta","Pasta"
"Fresh pasta","Pasta"
"Pasta wholemeal","Pasta"
"Cake pre-mixes/batter","Cake"
"Quark oil dough","Dough"
"Cake pre-mixes (dry)","Cake"
"Borlotti or other common beans (without pods)","Common wheat"
"Lentils (dry)","Lentils"
"Garden peas (dry)","Garden tomato"
"Linseeds","Angelica"
"Mustard seeds","Mustard"
"Peanuts","Angelica"
"Poppy seeds","Poppy"
"Pumpkin seeds","Japanese pumpkin"
"Sesame seeds","Sesame"
"Sunflower seeds","Sunflower"
"Almonds sweet","Sweet potato"
"Brazil nuts","Brazil nut"
"Cashew nuts","Nuts"
"Coconuts","Angelica"
"Hazelnuts","Angelica"
"Macadamia integrifolia","Macadamia nut"
"Stone pine nut kernels","Pine nut"
"Pistachios","Angelica"
"Walnuts","Angelica"
"Canned or jarred chickpea","Chickpea"
"Canned or jarred legumes","Unclassified food or beverage"
"Canned or jarred peas","Unclassified food or beverage"
"Dried nuts/seeds and related flours and powders","Nuts"
"Peanut butter","Peanut"
"Cinnamon bark","Cinnamon"
"Capers buds","Capers"
"Basil, dry","Sweet basil"
"Dried herbs","Herbs and Spices"
"Rosemary, dry","Rosemary"
"Thyme, dry","Common thyme"
"Caraway fruit","Caraway"
"Paprika powder","Cocoa powder"
"Peppercorn (black, green and white)","Green vegetables"
"Ginger roots","Ginger"
"Anise seed","Anise"
"Nutmeg seed","Nutmeg"
"Flavour enhancer","Angelica"
"Raising agents","Angelica"
"Stabiliser","Angelica"
"Thickener","Angelica"
"Almond essence","Almond"
"Lemon essence","Lemon"
"Rum essence","Rum"
"Vanilla essence","Vanilla"
"Butter flavour","Butter"
"Vanillin flavour","Angelica"
"Gelatine","Angelica"
"Maltodextrin","Angelica"
"Baking yeast","Angelica"
"Maize starch","Angelica"
"Potato starch","Potato"
"Beef liver","Cattle (Beef, Veal)"
"Chicken liver","Chicken"
"Luncheon spiced ham-type tinned meat","Meat bouillon"
"Chicken fresh meat","Chicken"
"Turkey fresh meat","Turkey"
"Mammals and birds meat","Milk (Other mammals)"
"Bovine and pig, minced meat","Domestic pig"
"Bovine, minced meat","Meat bouillon"
"Calf fresh meat","Meat bouillon"
"Cow, ox or bull fresh meat","Milk (Cow)"
"Deer fresh meat","Deer"
"Mammals meat","Milk (Other mammals)"
"Pig fresh meat","Domestic pig"
"Pig minced meat","Domestic pig"
"Rabbit fresh meat","Rabbit"
"Lamb fresh meat","Sheep (Mutton, Lamb)"
"Marinated meat","Meat bouillon"
"Liver cheese","Cheese"
"Cured pork fat","Other animal fat"
"Processed whole meat products","Whole wheat bread"
"Corned beef, uncooked","Cattle (Beef, Veal)"
"Ham, beef","Cattle (Beef, Veal)"
"Ham, pork","Angelica"
"Cured seasoned poultry meat","Meat bouillon"
"Raw cured (or seasoned) meat","Meat bouillon"
"Fresh raw sausages","Angelica"
"Cured ripened raw sausages","Angelica"
"Snack sausages (like Cabanos and landjäger)","Other snack food"
"German salami","German camomile"
"Salami-type sausage","Sausage"
"Mettwurst-type sausage","Sausage"
"Teewurst-type sausage","Sausage"
"Beerwurst","Angelica"
"Bockwurst","Angelica"
"Cooked bratwurst-type sausage","Sausage"
"Frankfurter sausage","Sausage"
"Wiener sausage","Sausage"
"Knackwurst-type sausage","Sausage"
"Preserved or partly preserved sausages","Unclassified food or beverage"
"Blood-type sausage","Sausage"
"Blood and tongue sausage","Sausage"
"Mortadella-type sausage","Sausage"
"Sliceable or firm cooked sausages","Unclassified food or beverage"
"Liver-type sausage","Sausage"
"Sausages","Angelica"
"Cheese, feta","Greek feta cheese"
"Cheese","Cheese"
"Cottage cheese","Cottage cheese"
"Cream cheese","Cream"
"Fresh uncured cheese","Cheese"
"Mascarpone","Angelica"
"Mozzarella","Mozzarella cheese"
"Quark","Angelica"
"Ricotta","Angelica"
"Processed cheese and spreads","Processed cheese"
"Processed cheese, spreadable","Processed cheese"
"Cheese, parmigiano reggiano","Cheese"
"Firm-ripened blue mould-veined cheese","Blue cheese"
"Cheese, appenzeller","Cheese"
"Cheese, butterkase","Cheese"
"Cheese, edam","Cheese"
"Cheese, gouda","Cheese"
"Cheese, tilsit","Cheese"
"Cheese, emmental","Cheese"
"Cheese, gruyere","Cheese"
"Hard cheese (cheddar, emmental type)","Cheddar Cheese"
"Soft - ripened cheese","Cheese"
"Cheese, camembert","Cheese"
"Cheese, harzer","Cheese"
"Custard","Sweet custard"
"Dairy desserts spoonable","Angelica"
"Starchy pudding","Pudding"
"Ice cream, milk-based","Ice cream"
"Milkshakes","Angelica"
"Kefir","Kefir"
"Yoghurt","Angelica"
"Yoghurt, cow milk","Milk (Cow)"
"Yoghurt, cow milk, flavoured","Milk (Cow)"
"Yoghurt, cow milk, plain","Milk (Cow)"
"Yoghurt drinks, including sweetened and/or flavoured variants","Fats and oils"
"Créme fraiche and other mild variants of sour cream","Sour cream"
"Sour cream, plain","Sour cream"
"Condensed milk (sometimes with added sugars)","Condensed milk"
"Buttermilk","Buttermilk"
"Cream sprayable","Cream"
"Cream, plain","Plain cream cheese"
"Cow milk","Milk (Cow)"
"Cow milk, semi skimmed (half fat)","Milk (Cow)"
"Cow milk, skimmed (low fat)","Milk (Cow)"
"Cow milk, whole","Milk (Cow)"
"Flavoured milks","Angelica"
"Goat milk","Domestic goat"
"Human milk","Milk (Human)"
"Flavoured whey","Whey"
"Whey","Whey"
"Food supplements and similar preparations","Baby food"
"Imitation cream","Cream"
"Soya yoghurt","Angelica"
"Tofu","Tofu"
